#{"t_start": 1745003421.7714872, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
1380.0,5353,6745.165291
760.0,2361,6751.060763
750.0,2273,6756.790112
1370.0,3801,6766.471318
470.0,2465,6772.629167
980.0,3257,6780.952063
840.0,2657,6787.6892
1190.0,3281,6796.008189
510.0,2273,6801.725237
1970.0,2985,6809.231395
420.0,2129,6814.639251
430.0,2345,6820.62173
1450.0,3489,6829.470916
1350.0,2761,6836.411904
930.0,2785,6843.557477
910.0,2409,6849.651126
1990.0,2617,6856.218977
1180.0,2769,6863.268315
860.0,2937,6870.726667
1800.0,4145,6881.260753
1020.0,3441,6890.003637
870.0,2345,6895.871254
780.0,2873,6903.256706
870.0,4049,6913.616167
360.0,1657,6917.798309
940.0,3033,6925.502341
810.0,2881,6932.770138
520.0,2345,6938.752565
390.0,1529,6942.548696
860.0,3185,6950.674218
460.0,1641,6954.89696
900.0,2689,6961.591531
1330.0,2785,6968.603891
810.0,2537,6974.972798
720.0,2817,6982.151173
760.0,2473,6988.375024
1090.0,3329,6996.855545
800.0,2329,7002.898498
680.0,2009,7007.981746
620.0,2617,7014.638915
1080.0,3793,7024.11935
460.0,1937,7029.003263
930.0,2145,7034.386281
990.0,2441,7040.51881
1010.0,3529,7049.362691
700.0,2409,7055.514835
940.0,4065,7065.861897
1870.0,3169,7073.823699
1080.0,4249,7084.762349
910.0,2641,7091.427754
360.0,1705,7095.704386
730.0,2849,7102.902587
280.0,2065,7108.02035
570.0,1937,7112.872851
1010.0,3057,7120.680098
520.0,2665,7127.425239
2110.0,3041,7135.140344
1990.0,3689,7144.664841
510.0,2233,7150.419276
550.0,1905,7155.418333
580.0,2537,7161.812378
670.0,3433,7170.5518
330.0,1489,7174.331876
970.0,2929,7181.737248
1020.0,3033,7189.391479
740.0,2281,7195.107327
580.0,1737,7199.398348
920.0,2921,7206.913367
440.0,1921,7211.654183
600.0,2809,7218.716241
940.0,3513,7227.55833
540.0,1881,7232.240636
560.0,2761,7239.208238
1010.0,2961,7246.601351
750.0,3033,7254.300047
810.0,2729,7261.174644
990.0,2969,7268.641944
670.0,2233,7274.263903
870.0,2521,7280.717757
1100.0,2953,7288.332226
540.0,2689,7295.06227
2360.0,3097,7302.848709
910.0,2417,7308.951956
1290.0,3273,7317.355565
1180.0,3233,7325.436709
1140.0,2937,7332.870203
1100.0,2945,7340.277722
720.0,2817,7347.409331
590.0,2921,7354.770448
600.0,2177,7360.243201
1070.0,2977,7367.839563
1320.0,2497,7374.050351
690.0,1841,7378.666581
1460.0,3441,7387.362691
1160.0,3177,7395.433662
690.0,2793,7402.4983
1270.0,2729,7409.472731
