#{"t_start": 1744843828.1221945, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
1150.0,3137,1499.234589
940.0,2529,1501.502591
340.0,1913,1502.79959
1000.0,3865,1506.04259
550.0,2777,1508.49059
530.0,1953,1509.962589
930.0,2929,1512.349591
670.0,2993,1514.970592
920.0,3161,1517.639628
280.0,1593,1518.768622
540.0,2369,1520.991622
390.0,1769,1522.190618
670.0,2625,1524.570892
490.0,1961,1526.042892
1220.0,3281,1528.782909
360.0,1977,1530.381908
390.0,1657,1531.93591
550.0,2145,1533.348909
390.0,2081,1535.225911
320.0,1825,1536.478909
1470.0,3577,1539.352911
780.0,2649,1541.835911
270.0,1697,1543.103912
870.0,3697,1546.17591
720.0,3169,1549.096911
730.0,3177,1551.993909
310.0,2257,1553.514909
480.0,1985,1555.253909
320.0,2049,1556.735909
380.0,1849,1558.161908
790.0,2577,1560.32591
240.0,1617,1561.749908
380.0,1577,1562.82091
370.0,1457,1563.883907
390.0,1705,1565.595911
1440.0,3009,1567.653909
640.0,2513,1569.720911
390.0,1769,1571.032908
880.0,2801,1573.310909
400.0,2345,1575.440908
620.0,2417,1577.113911
370.0,1689,1578.617911
780.0,2257,1580.175909
360.0,1913,1582.018909
380.0,1841,1583.354911
1060.0,2881,1585.986909
560.0,2153,1587.389909
1420.0,3657,1590.50391
400.0,1953,1592.209908
430.0,1921,1593.49591
210.0,1497,1594.490909
590.0,2377,1596.830909
500.0,2217,1598.842909
610.0,2737,1601.023909
1010.0,3241,1603.844912
850.0,2625,1606.171908
440.0,1697,1607.650908
230.0,1513,1608.825907
590.0,2713,1611.226909
1850.0,2489,1613.397908
930.0,2697,1615.238909
450.0,2201,1617.220911
720.0,2457,1619.290909
740.0,2873,1621.235912
920.0,3329,1624.028908
820.0,3505,1627.210912
370.0,2001,1628.579909
420.0,1953,1630.492909
460.0,2225,1632.08691
540.0,2777,1634.328909
650.0,2089,1636.208909
660.0,2281,1637.829909
510.0,2345,1639.826908
730.0,2585,1641.557909
370.0,1905,1643.381909
380.0,1729,1644.644911
640.0,2617,1647.043909
520.0,2297,1648.63491
450.0,1793,1650.382911
630.0,2697,1652.273925
290.0,1609,1653.690928
430.0,2593,1655.864924
590.0,1897,1657.922925
760.0,2513,1660.043926
1310.0,2553,1661.821925
470.0,2025,1663.832925
280.0,1633,1665.104927
380.0,1921,1666.427925
630.0,2497,1668.568926
510.0,1905,1670.436926
470.0,1713,1671.851925
510.0,2097,1673.251927
480.0,2097,1674.958925
480.0,1977,1676.248925
670.0,2617,1678.679924
390.0,1753,1679.831925
600.0,2881,1682.132926
450.0,1793,1684.010924
490.0,2545,1685.760923
710.0,3449,1688.685925
460.0,2073,1690.494925
1030.0,3241,1692.890925
210.0,1497,1694.279925
580.0,1889,1695.516929
500.0,2345,1697.551928
550.0,3033,1699.664928
890.0,2537,1701.812928
570.0,2169,1704.251928
910.0,2905,1706.401926
350.0,1665,1707.998925
440.0,2033,1709.564925
470.0,1857,1711.296925
380.0,1841,1712.689926
950.0,3409,1715.575924
590.0,1929,1717.064926
370.0,1713,1718.805523
370.0,1729,1720.220554
610.0,2545,1722.343693
440.0,2041,1723.794694
850.0,2529,1725.903104
380.0,1825,1727.091094
380.0,1881,1728.728094
370.0,1817,1730.052086
1340.0,3385,1732.885096
700.0,2705,1735.075566
590.0,2049,1736.442563
580.0,3193,1738.996566
480.0,1777,1740.253563
530.0,2369,1742.364567
800.0,3297,1745.307564
680.0,2129,1746.978562
640.0,2521,1749.330562
400.0,1825,1750.830564
410.0,2033,1752.627564
960.0,3041,1755.336563
630.0,1969,1756.630564
390.0,1833,1758.178563
610.0,1929,1759.490563
660.0,3249,1762.109563
440.0,2105,1763.560564
610.0,2137,1765.806563
400.0,2169,1767.246565
740.0,2449,1769.265564
650.0,2345,1770.972563
870.0,3017,1773.413565
700.0,2473,1775.759565
310.0,1593,1776.879564
760.0,2585,1779.210563
600.0,2857,1781.736564
630.0,2281,1783.461564
500.0,2801,1786.025565
360.0,2057,1787.621565
820.0,2641,1789.830564
420.0,2729,1792.103563
420.0,2201,1793.604566
400.0,2137,1795.500564
610.0,2729,1797.352564
880.0,3025,1799.994564
540.0,2825,1802.343566
520.0,3849,1805.262564
290.0,2465,1807.233564
460.0,1921,1809.153564
2020.0,3609,1812.263705
910.0,2481,1813.980705
390.0,1825,1815.749705
520.0,2489,1817.532049
310.0,1753,1819.040047
1020.0,2497,1820.730047
580.0,2417,1822.772047
570.0,3265,1825.483049
590.0,2953,1827.659048
480.0,2681,1830.093047
830.0,2873,1832.678046
910.0,2017,1834.224048
520.0,2193,1836.225047
540.0,3073,1838.322046
620.0,2057,1840.249048
280.0,1569,1841.353048
350.0,1553,1842.928046
920.0,3113,1845.232049
630.0,2041,1847.030045
660.0,2489,1849.210048
540.0,1921,1850.617047
840.0,2889,1853.142047
1240.0,3497,1855.927046
1630.0,2897,1857.895047
690.0,3153,1860.369047
410.0,1817,1861.566048
580.0,1873,1863.475048
370.0,1801,1864.74005
360.0,2233,1866.67205
610.0,2977,1869.011046
490.0,1913,1870.257046
1100.0,3057,1873.073047
480.0,2721,1875.050047
440.0,1801,1876.628047
580.0,3201,1879.568048
590.0,2873,1881.857047
870.0,2681,1884.228046
340.0,1633,1885.299438
430.0,1801,1886.925436
460.0,2369,1888.527436
430.0,1809,1890.250437
1250.0,3433,1893.397436
560.0,2217,1895.195435
590.0,1993,1896.900435
370.0,1769,1898.092436
510.0,1953,1899.968436
790.0,2609,1901.942436
480.0,1617,1903.416436
780.0,2441,1905.287434
920.0,2665,1907.573435
440.0,2033,1908.929436
270.0,1881,1910.603437
440.0,2281,1912.198488
2160.0,2889,1914.797343
680.0,3105,1917.244341
620.0,2737,1919.108342
1220.0,2713,1921.397343
490.0,1785,1923.422579
270.0,1761,1924.772834
330.0,2185,1926.268833
580.0,1833,1927.933889
490.0,2601,1930.140903
1120.0,3033,1932.160903
730.0,2961,1934.731905
440.0,1729,1935.875902
330.0,1785,1937.493902
770.0,3233,1939.985904
290.0,1769,1941.232905
820.0,3673,1944.348905
480.0,1953,1945.666902
830.0,2833,1948.129903
1190.0,2673,1950.443904
530.0,2753,1952.313901
750.0,2649,1954.673906
600.0,2041,1956.777903
570.0,2345,1958.469902
2250.0,3537,1961.518902
530.0,2713,1964.331905
380.0,1945,1965.633904
1270.0,3001,1968.188901
810.0,2961,1970.825902
800.0,2833,1972.766903
850.0,2969,1975.166902
1250.0,3369,1977.829903
640.0,2785,1979.761902
330.0,2105,1981.905904
650.0,2801,1984.306902
640.0,2993,1986.489904
500.0,1609,1988.078904
640.0,2609,1990.137903
1220.0,2833,1992.699775
390.0,1833,1994.064772
330.0,1985,1996.204773
1210.0,3081,1998.685773
270.0,2297,2000.337772
750.0,3393,2003.259772
500.0,2833,2005.686773
610.0,3217,2008.289772
260.0,2737,2010.164775
280.0,2465,2012.227772
850.0,2825,2014.876777
910.0,3873,2017.761772
750.0,3225,2020.410772
680.0,2353,2022.459773
