#{"t_start": 1745049255.1946304, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
940.0,3337,2841.653346
920.0,3097,2848.675466
440.0,2177,2853.579109
530.0,2113,2858.406778
540.0,1689,2862.173256
300.0,1529,2865.622656
360.0,1841,2869.759851
220.0,1929,2874.120991
760.0,2793,2880.437358
980.0,2177,2885.321647
400.0,1977,2889.802299
370.0,2065,2894.476542
1140.0,3393,2902.205305
390.0,1873,2906.449239
680.0,2425,2911.865121
390.0,2209,2916.867325
1360.0,3137,2923.948311
370.0,2025,2928.514363
690.0,2449,2933.982592
440.0,1953,2938.378309
390.0,1777,2942.445238
580.0,3153,2949.638128
430.0,2425,2955.110269
2120.0,2745,2961.426549
660.0,2321,2966.830941
660.0,2177,2971.860543
850.0,2633,2977.70793
480.0,1793,2981.82521
410.0,1873,2986.056585
620.0,2225,2991.039195
530.0,2417,2996.488737
720.0,2153,3001.424156
820.0,2313,3006.629544
680.0,2881,3013.154531
850.0,3505,3021.131723
450.0,2289,3026.435936
1710.0,3961,3035.466343
330.0,1577,3039.082887
920.0,1937,3043.468679
410.0,2033,3048.069126
490.0,1945,3052.514463
600.0,2049,3057.085543
640.0,2969,3063.887711
620.0,2113,3068.864659
540.0,2857,3075.72838
430.0,2745,3082.361071
770.0,2209,3087.609869
450.0,2641,3093.8107
360.0,1945,3098.491595
290.0,1649,3102.411337
430.0,2161,3107.493772
1040.0,3393,3115.774535
580.0,2689,3122.19019
450.0,1929,3126.871491
300.0,1841,3131.250555
380.0,2633,3137.536962
570.0,1849,3142.06127
760.0,2641,3148.369198
950.0,3537,3156.800615
710.0,2425,3162.607549
850.0,3001,3169.85797
910.0,2689,3176.401736
810.0,3273,3184.018384
610.0,2385,3189.368273
950.0,2753,3195.548373
290.0,1681,3199.328709
2100.0,2729,3205.533393
340.0,1545,3209.077538
590.0,2369,3214.760173
650.0,2417,3220.475676
760.0,3401,3228.509545
440.0,1713,3232.542527
710.0,2561,3238.692994
1050.0,3769,3247.807933
870.0,2745,3254.329793
440.0,2185,3259.600196
1290.0,3345,3267.669396
460.0,2153,3272.724004
1130.0,3345,3280.667909
530.0,2385,3286.118466
360.0,1585,3289.716545
700.0,2673,3295.712071
440.0,1873,3299.948634
910.0,2585,3305.829984
610.0,3889,3314.684411
560.0,2401,3320.073757
300.0,1457,3323.365021
360.0,1897,3327.691382
920.0,3689,3336.130144
620.0,2065,3341.010054
440.0,1809,3345.326437
650.0,2849,3352.267579
660.0,2977,3359.527146
510.0,1689,3363.608392
1400.0,2657,3369.866514
750.0,2817,3376.655342
580.0,2241,3382.10666
1160.0,3065,3389.353504
210.0,1601,3393.223798
530.0,1809,3397.478109
520.0,2073,3402.514629
480.0,1825,3406.875267
500.0,1753,3410.990335
210.0,1377,3414.283839
2020.0,3081,3421.58255
2240.0,4249,3431.214582
380.0,1569,3434.756843
890.0,2977,3441.562982
1150.0,3657,3449.981142
1080.0,2897,3456.529119
660.0,2337,3461.793675
670.0,2681,3467.942444
330.0,2209,3472.944418
740.0,2169,3478.058463
350.0,1505,3481.608271
1070.0,2865,3488.405805
440.0,2113,3493.358583
770.0,2593,3499.605552
380.0,2009,3504.404339
620.0,1825,3508.733592
670.0,2889,3515.639044
460.0,2049,3520.502684
580.0,2185,3525.42585
360.0,1545,3528.934847
830.0,2873,3535.623271
250.0,1329,3538.816984
500.0,1625,3542.734828
